#GC332DD7LP154KX18,,#GC332DD7LP154KX18,,
#2023/01/18,,#2023/01/18,,
#z,,#r,,
#DC0V 25degC,,#DC0V 25degC,,
Frequency[Hz],Impedance[ohm],Frequency[Hz],Resistance[ohm],
99999.99999999999,10.81192847082679,99999.99999999999,0.03711205748277931,
102610.7361027269,10.537487513633184,102610.7361027269,0.03635036232458547,
105289.63163543465,10.270008377184489,105289.63163543465,0.03559589389309297,
108038.46606096912,10.00931399983641,108038.46606096912,0.03484944344584877,
110859.0652992552,9.755231880772538,110859.0652992552,0.03411175816822218,
113753.30294016848,9.507593960783629,113753.30294016848,0.033383538373859496,
116723.10148807177,9.266236505790047,116723.10148807177,0.03266543516250562,
119770.43363884346,9.030999993087178,119770.43363884346,0.03195804854414787,
122897.32359024532,8.8017290002949,122897.32359024532,0.03126192603154802,
126105.84838650099,8.578272096992412,126105.84838650099,0.030577561696721326,
129398.13929797744,8.360481739019274,129398.13929797744,0.0299053956808131,
132776.3832368866,8.148214165422313,132776.3832368866,0.02924581414132563,
136242.82420994705,7.941329298025861,136242.82420994705,0.028599149615749324,
139799.7648089709,7.739690643600718,139799.7648089709,0.0279656817764607,
143449.567740366,7.5431651986040755,143449.567740366,0.02734563854827552,
147194.65739456945,7.351623356459719,147194.65739456945,0.026739197557318243,
151037.52145645468,7.164938817344623,151037.52145645468,0.02614648787783234,
154980.71255778224,6.98298850044462,154980.71255778224,0.025567592042262298,
159026.84997279174,6.805652458638812,159026.84997279174,0.025002548279243784,
163178.62135806077,6.6328137955692235,163178.62135806077,0.02445135294408881,
167438.78453778772,6.4643585850493395,167438.78453778772,0.023913963106795447,
171810.1693356829,6.300175792762679,171810.1693356829,0.023390299263555785,
176295.6794546858,6.140157200200235,176295.6794546858,0.022880248139033613,
180898.294405757,5.9841973307836405,180898.294405757,0.022383665548339565,
185621.0714870253,5.832193378119449,185621.0714870253,0.021900379289497136,
190467.14781460565,5.684045136328587,190467.14781460565,0.021430192039273644,
195439.74240643583,5.539654932394216,195439.74240643583,0.020972884227429028,
200542.1583205171,5.398927560470594,200542.1583205171,0.020528216866688962,
205777.78484897866,5.261770218095406,205777.78484897866,0.020095934318021313,
211150.0997694226,5.128092444247907,211150.0997694226,0.01967576697304348,
216662.67165504684,4.997806059195591,216662.67165504684,0.019267433837579055,
222319.16224507784,4.870825106072595,222319.16224507784,0.01887064500250802,
228123.3288770901,4.747065794133554,228123.3288770901,0.018485103990071014,
234079.0269828268,4.626446443627736,234079.0269828268,0.018110509965705082,
240190.21264917936,4.508887432238974,240190.21264917936,0.017746559807295947,
246460.945246028,4.394311143038081,246460.945246028,0.017392950025421596,
252895.39012268803,4.2826419138956044,252895.39012268803,0.017049378529749495,
259497.8213747532,4.173805988303913,259497.8213747532,0.016715546238228993,
266272.6246831737,4.067731467558858,266272.6246831737,0.016391158527112037,
273224.30022745585,3.9643482642525734,273224.30022745585,0.01607592652113608,
280357.46567491704,3.8635880570302454,280357.46567491704,0.01576956822442882,
287676.85924798227,3.7653842465650764,287676.85924798227,0.015471809493856336,
295187.34287156025,3.6696719127069697,295187.34287156025,0.015182384857628867,
302893.9054025884,3.576387772761923,302893.9054025884,0.014901038183023112,
310801.6659438933,3.48547014086049,310801.6659438933,0.014627523198062717,
318915.8772445672,3.3968588883751494,318915.8772445672,0.014361603872937197,
327241.92918911943,3.3104954053479574,327241.92918911943,0.014103054667809594,
335785.3523777198,3.226322562891301,335785.3523777198,0.013851660654487282,
344551.82179991365,3.1442846765262673,344551.82179991365,0.013607217520173395,
353547.16060424736,3.064327470424679,353547.16060424736,0.013369531462193069,
362777.3439663084,2.986398042522564,362777.3439663084,0.013138418983176053,
372248.50305775064,2.9104448304744985,372248.50305775064,0.012913706596669369,
381966.9291189398,2.8364175784199954,381966.9291189398,0.012695230453542126,
391939.0776379254,2.7642673045349,391939.0776379254,0.012482835899817094,
402171.5726385136,2.6939462693424163,402171.5726385136,0.01227637697671668,
412671.21108029195,2.625407944760217,412671.21108029195,0.01207571587373288,
423444.9673735255,2.558606983861808,423444.9673735255,0.011880722345426552,
434499.9980119262,2.493499191331878,434499.9980119262,0.011691273102424253,
445843.64632637135,2.4300414945971633,445843.64632637135,0.011507251186714895,
457483.44736272807,2.368191915615747,457483.44736272807,0.01132854534086486,
469427.1328870264,2.307909543309219,469427.1328870264,0.01115504938017061,
481682.6365213039,2.2491545066234755,481682.6365213039,0.010986661576070495,
494258.0990135325,2.191887948205132,494258.0990135325,0.010823284058353325,
507161.87364513054,2.1360719986816115,507161.87364513054,0.010664822242849238,
520402.53177965025,2.081669751533942,520402.53177965025,0.010511184290384707,
533988.8685563265,2.0286452385520963,533988.8685563265,0.010362280601848732,
547929.9087322695,1.9769634058633756,547929.9087322695,0.01021802335326939,
562234.9126771817,1.9265900905248796,562234.9126771817,0.010078326073858222,
576913.38252458,1.8774919976715057,576913.38252458,0.009943103269061997,
591975.068483612,1.829636678211185,591975.068483612,0.009812270089783904,
607429.975315656,1.7829925070592265,607429.975315656,0.009685742048112544,
