#GR321BD7LP223KW01,,#GR321BD7LP223KW01,,
#2023/01/18,,#2023/01/18,,
#z,,#r,,
#DC0V 25degC,,#DC0V 25degC,,
Frequency[Hz],Impedance[ohm],Frequency[Hz],Resistance[ohm],
99999.99999999999,74.87796494381261,99999.99999999999,0.3202970347616862,
102610.7361027269,72.97957948179298,102610.7361027269,0.3115530095589517,
105289.63163543465,71.12924042319595,105289.63163543465,0.3029296315276316,
108038.46606096912,69.32572805680387,108038.46606096912,0.2944355219923828,
110859.0652992552,67.56785431673943,110859.0652992552,0.2860786999889401,
113753.30294016848,65.85446193332064,113753.30294016848,0.2778665607455929,
116723.10148807177,64.18442360350647,116723.10148807177,0.2698058596865886,
119770.43363884346,62.55664118102653,119770.43363884346,0.2619027018655825,
122897.32359024532,60.97004488626811,122897.32359024532,0.2541625366678811,
126105.84838650099,59.423592535965284,126105.84838650099,0.24659015755627217,
129398.13929797744,57.91626879269891,129398.13929797744,0.23918970658104544,
132776.3832368866,56.447084434175835,132776.3832368866,0.23196468332822073,
136242.82420994705,55.01507564221103,136242.82420994705,0.22491795794326563,
139799.7648089709,53.619303311288895,139799.7648089709,0.2180517878392808,
143449.567740366,52.25885237653339,143449.567740366,0.21136783767987952,
147194.65739456945,50.93283116086714,147194.65739456945,0.20486720221575289,
151037.52145645468,49.64037074109671,151037.52145645468,0.19855043155151086,
154980.71255778224,48.38062433261513,154980.71255778224,0.1924175584235984,
159026.84997279174,47.15276669237428,159026.84997279174,0.18646812708065444,
163178.62135806077,45.955993539744235,163178.62135806077,0.18070122337379996,
167438.78453778772,44.789520994842825,167438.78453778772,0.1751155056851363,
171810.1693356829,43.652585033894034,171810.1693356829,0.16970923634710375,
176295.6794546858,42.54444096115034,176295.6794546858,0.16448031323221537,
180898.294405757,41.464362896897406,180898.294405757,0.15942630122207208,
185621.0714870253,40.41164328104587,185621.0714870253,0.15454446329473304,
190467.14781460565,39.38559239180874,190467.14781460565,0.14983179100019287,
195439.74240643583,38.38553787895717,195439.74240643583,0.14528503412440955,
200542.1583205171,37.41082431114831,200542.1583205171,0.14090072937244152,
205777.78484897866,36.460812736822525,205777.78484897866,0.13667522792992642,
211150.0997694226,35.534880258173644,211150.0997694226,0.1326047217898068,
216662.67165504684,34.6324196177056,216662.67165504684,0.128685268756854,
222319.16224507784,33.75283879689998,222319.16224507784,0.12491281606643094,
228123.3288770901,32.89556062653323,228123.3288770901,0.12128322257561014,
234079.0269828268,32.06002240819723,234079.0269828268,0.11779227950460057,
240190.21264917936,31.245675546592473,240190.21264917936,0.11443572972377895,
246460.945246028,30.45198519218157,246460.945246028,0.11120928559712163,
252895.39012268803,29.678429893807138,252895.39012268803,0.10810864540614232,
259497.8213747532,28.92450126089703,259497.8213747532,0.10512950838977496,
266272.6246831737,28.189703634897274,266272.6246831737,0.10226758844518277,
273224.30022745585,27.473553769591465,273224.30022745585,0.09951862654214876,
280357.46567491704,26.775580519982366,280357.46567491704,0.0968784019099615,
287676.85924798227,26.095324539429228,287676.85924798227,0.09434274206024466,
295187.34287156025,25.432337984750532,295187.34287156025,0.09190753171266404,
302893.9054025884,24.78618422901796,302893.9054025884,0.08956872069250868,
310801.6659438933,24.156437581782757,310801.6659438933,0.08732233087028872,
318915.8772445672,23.542683016490102,318915.8772445672,0.08516446221372818,
327241.92918911943,22.944515904851112,327241.92918911943,0.08309129802180683,
335785.3523777198,22.36154175795494,335785.3523777198,0.08109910940931078,
344551.82179991365,21.793375973915758,344551.82179991365,0.07918425910837457,
353547.16060424736,21.239643591861167,353547.16060424736,0.07734320465117688,
362777.3439663084,20.699979052079062,362777.3439663084,0.07557250099501783,
372248.50305775064,20.17402596215005,372248.50305775064,0.07386880264807387,
381966.9291189398,19.66143686890198,381966.9291189398,0.07222886535045453,
391939.0776379254,19.16187303603194,391939.0776379254,0.07064954736174879,
402171.5726385136,18.675004227248504,402171.5726385136,0.0691278104023292,
412671.21108029195,18.20050849479494,412671.21108029195,0.06766072029180628,
423444.9673735255,17.73807197322071,423444.9673735255,0.06624544732399017,
434499.9980119262,17.28738867827431,434499.9980119262,0.06487926641365734,
445843.64632637135,16.848160310796704,445843.64632637135,0.0635595570463868,
457483.44736272807,16.420096065499145,457483.44736272807,0.06228380305858918,
469427.1328870264,16.002912444513964,469427.1328870264,0.0610495922709145,
481682.6365213039,15.596333075610488,481682.6365213039,0.059854615994228894,
494258.0990135325,15.200088534972275,494258.0990135325,0.058696668423491395,
507161.87364513054,14.81391617443424,507161.87364513054,0.05757364593120885,
520402.53177965025,14.437559953081108,520402.53177965025,0.05648354626847839,
533988.8685563265,14.07077027311043,533988.8685563265,0.05542446767838238,
547929.9087322695,13.713303819865303,547929.9087322695,0.05439460792323936,
562234.9126771817,13.36492340594262,562234.9126771817,0.053392263224424356,
576913.38252458,13.025397819283953,576913.38252458,0.052415827110845276,
591975.068483612,12.694501675156292,591975.068483612,0.0514637891698938,
607429.975315656,12.372015271930039,607429.975315656,0.05053473369286478,
623288.3689800071,12.057724450561587,623288.3689800071,0.04962733820529634,
639560.783453066,11.75142045768718,639560.783453066,0.04874037187167302,
656258.0277255583,11.452899812234401,656258.0277255583,0.04787269376332568,
673391.1929824331,11.161964175456902,673391.1929824331,0.04702325097825986,
690971.6599702089,10.878420224297066,690971.6599702089,0.04619107660201704,
709011.1065566628,10.602079527980962,709011.1065566628,0.04537528749952062,
727521.5154878813,10.332758427748919,727521.5154878813,0.04457508192925934,
746515.1823478293,10.070277919625026,746515.1823478293,0.04378973697290744,
766004.7237257219,9.81446354012849,766004.7237257219,0.0430186057757836,
786003.0855966229,9.56514525482988,786003.0855966229,0.04226111459614979,
806523.5519208414,9.322157349656107,806523.5519208414,0.04151675966433271,
827579.7534678341,9.085338324848692,827579.7534678341,0.04078510385586098,
849185.6768704772,8.854530791481526,849185.6768704772,0.040065773186233555,
871355.6739157209,8.629581370446234,871355.6739157209,0.039358453138435744,
894104.471077798,8.410340593815969,894104.471077798,0.03866288483781009,
