#GR321BD7LP223KW01,,
#2023/01/18,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
2.25,0.03690991166169777,
4.5,0.03276737205641922,
6.75,-0.011222434746205323,
9.0,-0.09382798321796448,
11.25,-0.21379593211240389,
13.5,-0.36985546773332656,
15.75,-0.5607224574282865,
18.0,-0.7851034075860741,
20.25,-1.0416992219042354,
22.5,-1.329208757083522,
24.75,-1.646332174398979,
27.0,-1.9917740867907208,
29.25,-2.364246502212597,
31.5,-2.762471564974456,
33.75,-3.185184097715421,
36.0,-3.6311339474541793,
38.25,-4.0990881398802355,
40.5,-4.5878328466814615,
42.75,-5.0961751712511045,
45.0,-5.622944758586157,
47.25,-6.166995235582984,
49.5,-6.727205488259513,
51.75,-7.3024807826905676,
54.0,-7.891753736639129,
56.25,-8.493985149005457,
58.5,-9.108164694302944,
60.75,-9.733311489408658,
63.0,-10.368474539832185,
65.25,-11.012733072702908,
67.5,-11.66519676359693,
69.75,-12.325005864215155,
72.0,-12.991331237786152,
74.25,-13.66337430890674,
76.5,-14.340366934350213,
78.75,-15.02157120117361,
81.0,-15.706279158240466,
83.25,-16.393812487050287,
85.5,-17.083522117530116,
87.75,-17.774787794201895,
90.0,-18.467017597891576,
92.25,-19.159647427896388,
94.5,-19.852140449274934,
96.75,-20.543986509673907,
99.0,-21.234701529855894,
101.25,-21.923826871846565,
103.5,-22.61092868837695,
105.75,-23.29559725705964,
108.0,-23.97744630250571,
110.25,-24.656112309364897,
112.5,-25.331253829052592,
114.75,-26.002550782717947,
117.0,-26.669703762803763,
119.25,-27.332433335355176,
121.5,-27.990479345047692,
123.75,-28.64360022472824,
126.0,-29.29157231109277,
128.25,-29.934189167965354,
130.5,-30.571260918489827,
132.75,-31.202613587403615,
135.0,-31.828088454426663,
137.25,-32.447541419672575,
139.5,-33.06084238186929,
141.75,-33.66787463006627,
144.0,-34.268534249400204,
146.25,-34.86272954139593,
148.5,-35.45038045918923,
150.75,-36.03141805797504,
153.0,-36.6057839609089,
155.25,-37.17342984061885,
