#GRM155C61E475ME15,,
#2023/01/16,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.125,-0.1126327424376683,
0.25,-0.48461871667597745,
0.375,-1.0976193537511336,
0.5,-1.9323939214268226,
0.625,-2.969170075160532,
0.75,-4.187977813825694,
0.875,-5.568944357985616,
1.0,-7.092548966276269,
1.125,-8.739837965997344,
1.25,-10.492601296399739,
1.375,-12.333512656820378,
1.5,-14.246235933733619,
1.625,-16.215500972973217,
1.75,-18.22715199070233,
1.875,-20.268172005116547,
2.0,-22.326686645982385,
2.125,-24.391950585205414,
2.25,-26.454319650884596,
2.375,-28.505211459426828,
2.5,-30.537057142236147,
2.625,-32.54324646946767,
2.75,-34.518068394902535,
2.875,-36.4566487722482,
3.0,-38.35488673096443,
3.125,-40.20939095399131,
3.25,-42.01741687378361,
3.375,-43.77680559874327,
3.5,-45.485925200285116,
3.625,-47.143614831305115,
3.75,-48.74913200902638,
3.875,-50.30210327788544,
4.0,-51.8024783697866,
4.125,-53.2504878979982,
4.25,-54.646604555406064,
4.375,-55.99150773597715,
4.5,-57.286051458368526,
4.625,-58.53123544097757,
4.75,-59.728179156820225,
4.875,-60.878098683028,
5.0,-61.982286152197105,
5.125,-63.04209161017176,
5.25,-64.05890708610671,
5.375,-65.0341526849717,
5.5,-65.96926451929792,
5.625,-66.86568430530232,
5.75,-67.72485045804106,
5.875,-68.54819053050775,
6.0,-69.33711485226294,
6.125,-70.0930112339732,
6.25,-70.81724061493848,
6.375,-71.51113354112388,
6.5,-72.17598737126231,
6.625,-72.81306411816782,
6.75,-73.42358884143711,
6.875,-74.00874851617844,
7.0,-74.56969131027891,
7.125,-75.10752620999843,
7.25,-75.6233229403696,
7.375,-76.1181121330065,
7.5,-76.5928856995044,
7.625,-77.04859737367471,
7.75,-77.4861633904381,
7.875,-77.90646327332145,
8.0,-78.3103407062109,
8.125,-78.69860446832969,
8.25,-79.07202941437265,
8.375,-79.43135748436757,
8.5,-79.77729873017745,
8.625,-80.11053234763395,
8.75,-80.43170770512673,
8.875,-80.7414453610919,
9.0,-81.04033806426223,
9.125,-81.3289517317901,
9.25,-81.6078264014415,
9.375,-81.87747715500811,
9.5,-82.1383950109079,
9.625,-82.39104778465443,
9.75,-82.63588091648694,
9.875,-82.8733182659743,
10.0,-83.10376287384952,
10.125,-83.32759769170069,
10.25,-83.54518628045662,
10.375,-83.75687347885278,
10.5,-83.96298604326932,
10.625,-84.16383326048589,
10.75,-84.35970753501759,
10.875,-84.5508849527752,
11.0,-84.73762582284179,
11.125,-84.92017519917754,
11.25,-85.09876338405991,
11.375,-85.27360641503712,
11.5,-85.44490653712366,
11.625,-85.61285266190393,
11.75,-85.77762081512495,
11.875,-85.93937457426829,
12.0,-86.09826549748341,
12.125,-86.25443354515218,
12.25,-86.40800749523166,
12.375,-86.55910535339501,
12.5,-86.70783475886059,
12.625,-86.85429338666498,
12.75,-86.99856934700482,
12.875,-87.14074158213738,
13.0,-87.28088026120224,
13.125,-87.4190471732019,
13.25,-87.55529611825486,
13.375,-87.68967329712656,
13.5,-87.82221769893187,
13.625,-87.95296148681064,
13.75,-88.08193038128374,
13.875,-88.2091440409247,
14.0,-88.33461643991168,
14.125,-88.45835624196701,
14.25,-88.58036717015379,
14.375,-88.7006483719563,
14.5,-88.81919477906204,
14.625,-88.93599746124468,
14.75,-89.05104397375581,
14.875,-89.16431869764642,
15.0,-89.27580317246407,
15.125,-89.38547642080759,
15.25,-89.49331526426971,
15.375,-89.59929463034814,
15.5,-89.70338784997539,
15.625,-89.80556694538446,
15.75,-89.90580290811036,
15.875,-90.00406596700796,
16.0,-90.10032584626067,
16.125,-90.19455201344634,
16.25,-90.28671391782697,
16.375,-90.37678121912887,
16.5,-90.46472400718135,
16.625,-90.55051301289122,
16.75,-90.63411981112847,
16.875,-90.71551701620919,
17.0,-90.79467847076074,
17.125,-90.87157942886154,
17.25,-90.94619673444126,
17.375,-91.01850899603299,
17.5,-91.08849675905854,
17.625,-91.1561426769185,
17.75,-91.22143168224865,
17.875,-91.28435115978684,
18.0,-91.34489112236554,
18.125,-91.40304439162328,
18.25,-91.45880678508664,
18.375,-91.51217731133269,
18.5,-91.56315837498843,
18.625,-91.61175599335942,
18.75,-91.65798002650753,
18.875,-91.70184442260405,
19.0,-91.74336748038452,
19.125,-91.78257213050894,
19.25,-91.81948623757951,
19.375,-91.8541429245096,
19.5,-91.88658092083284,
19.625,-91.91684493641405,
19.75,-91.94498606185317,
19.875,-91.97106219666247,
20.0,-91.99513850603559,
20.125,-92.01728790670337,
20.25,-92.03759158199674,
20.375,-92.05613952576554,
20.5,-92.07303111427805,
20.625,-92.08837570458877,
20.75,-92.10229325713043,
20.875,-92.11491497945076,
21.0,-92.12638398704928,
21.125,-92.13685597618205,
21.25,-92.14649990226856,
21.375,-92.15549865616492,
21.5,-92.16404972904265,
21.625,-92.17236585492368,
21.75,-92.18067561809953,
21.875,-92.18922401067448,
22.0,-92.19827292334647,
22.125,-92.20810155030284,
22.25,-92.219006686766,
22.375,-92.23130289531208,
22.5,-92.24532251468139,
22.625,-92.26141548240213,
22.75,-92.27994894030319,
22.875,-92.30130658992226,
23.0,-92.3258877630674,
23.125,-92.35410617147525,
23.25,-92.38638829877733,
23.375,-92.42317139797804,
23.5,-92.46490105857343,
23.625,-92.51202830947507,
23.75,-92.5650062272466,
23.875,-92.62428602404815,
24.0,-92.69031259630303,
24.125,-92.76351952366527,
24.25,-92.84432351854285,
24.375,-92.93311833937501,
24.5,-93.03026819615148,
24.625,-93.13610069427925,
24.75,-93.25089938285828,
24.875,-93.3748959953883,
25.0,-93.50826249469333,
