#GRM155R61H105KE05,,#GRM155R61H105KE05,,
#2023/01/18,,#2023/01/18,,
#z,,#r,,
#DC0V 25degC,,#DC0V 25degC,,
Frequency[Hz],Impedance[ohm],Frequency[Hz],Resistance[ohm],
99.99999999999999,2196.4494106910843,99.99999999999999,28.12333508366786,
104.57921513303334,2101.1127826535835,104.57921513303334,27.014047560580167,
109.3681223784127,2009.9034258135828,109.3681223784127,25.942973409521695,
114.37632398907938,1922.643270728654,114.37632398907938,24.911359751312514,
119.61386192579457,1839.162187155235,119.61386192579457,23.919997749461825,
125.09123799230618,1759.2975786679212,125.09123799230618,22.969245916991525,
130.8194348925486,1682.8939993179586,130.8194348925486,22.05906009886427,
136.8099382520969,1609.8027921776427,136.8099382520969,21.189028580119132,
143.0747596480305,1539.8817493200313,143.0747596480305,20.358410820578893,
149.6264606933842,1472.9947925330753,149.6264606933842,19.566178428586266,
156.47817822447783,1409.011673871459,156.47817822447783,18.811057141040468,
163.643650641628,1347.8076950103757,163.643650641628,18.09156875703936,
171.13724545605763,1289.2634442810079,171.13724545605763,17.40607216228977,
178.97398809823787,1233.264550232198,178.97398809823787,16.752802768058917,
187.1695920454257,1179.701450569115,187.1695920454257,16.12990986073134,
195.74049032880657,1128.4691753587429,195.74049032880657,15.53549150966116,
204.70386848341695,1079.4671434546324,204.70386848341695,14.967626806674868,
214.07769900691426,1032.598971170379,214.07769900691426,14.424405308931604,
223.88077739628844,987.7722923146788,223.88077739628844,13.90395362780655,
234.132759834772,944.8985887831849,234.132759834772,13.404459152319232,
244.85420260451446,903.8930309778862,244.85420260451446,12.924190919710254,
256.06660330404856,864.6743273887693,256.06660330404856,12.46151765258494,
267.79244395319193,827.1645827221439,267.79244395319193,12.014922976880468,
280.0552360718164,791.2891639936391,280.0552360718164,11.583017823169813,
292.87956782286926,756.976574021682,292.87956782286926,11.164550001277727,
306.2911533141767,724.1583317608148,306.2911533141767,10.758410929961611,
320.3168841578819,692.7688589065308,320.3168841578819,10.363639504205791,
334.9848833909005,662.7453721886961,334.9848833909005,9.979423096024998,
350.32456186451077,634.0277807541804,350.32456186451077,9.605095712625927,
366.36667721614316,606.5585880267406,366.36667721614316,9.240133379021508,
383.1433955416162,580.2827974290576,383.1433955416162,8.884146869227537,
400.6883558914757,555.1478213631167,400.6883558914757,8.536871977979462,
419.03673772076064,531.1033928746087,419.03673772076064,8.19815759869072,
438.22533142743896,508.10147947679314,438.22533142743896,7.867951947250056,
458.2926121209498,486.09619867928745,458.2926121209498,7.546287338588895,
479.2788167687661,465.0437348553603,479.2788167687661,7.233263977315719,
501.22602487566456,444.90225718325445,501.22602487566456,6.929033259449435,
524.1782428574726,425.63183850693844,524.1782428574726,6.633781095192194,
548.1814922784702,407.1943750725635,548.1814922784702,6.347711750657733,
573.2839021293738,389.55350720149283,573.2839021293738,6.071032669605551,
599.5358053309263,372.67454105239943,599.5358053309263,5.803940676912273,
626.9898396565933,356.52437169801846,626.9898396565933,5.54660988806954,
655.7010532767296,341.0714077929326,655.7010532767296,5.299181559205526,
685.7270151358366,326.28549813553445,685.7270151358366,5.061756016541612,
717.1279303842347,312.13786043037163,717.1279303842347,4.834386709378854,
749.9667610955984,298.601012538656,749.9667610955984,4.617076342686733,
784.3093525124082,285.64870646846356,784.3093525124082,4.409774968984577,
820.224565072452,273.25586530668727,820.224565072452,4.212379857897309,
857.7844124811066,261.39852323711546,857.7844124811066,4.024736917372919,
897.0642061062426,250.05376872801295,897.0642061062426,3.8466434133893,
938.142705985285,239.19969091263073,938.142705985285,3.6778517240910573,
981.1022787472119,228.81532913073494,981.1022787472119,3.51807386769315,
1026.0290627661395,218.88062555114726,1026.0290627661395,3.366986558561262,
1073.0131408776467,209.37638075604363,1073.0131408776467,3.224236569666617,
1122.1487210041523,200.2842121380997,1122.1487210041523,3.089446209195087,
1173.5343250515148,191.58651494145803,1173.5343250515148,2.9622187516886997,
1227.2729864556143,183.266425766272,1227.2729864556143,2.8421436973733063,
1283.4724567750195,175.3077883532149,1283.4724567750195,2.728801765335133,
1342.245421743976,167.69512146752825,1342.245421743976,2.6217695555263383,
1403.7097272189235,160.41358871051978,1403.7097272189235,2.520623840217737,
1467.9886154715934,153.44897009852764,1467.9886154715934,2.4249454668995183,
1535.2109723024755,146.78763526394346,1535.2109723024755,2.3343228715270246,
1605.5115854701385,140.41651814875289,1605.5115854701385,2.2483552134497136,
1679.031414954591,134.32309307722193,1679.031414954591,2.1666551515824906,
1755.9178755965756,128.4953521099574,1755.9178755965756,2.088851285765968,
1836.3251326795319,122.9217835959223,1836.3251326795319,2.0145902882949898,
1920.4144110468878,117.591351851543,1920.4144110468878,1.943538748827964,
2008.3543183744998,112.49347790637931,2008.3543183744998,1.8753847519241742,
2100.3211832464335,107.61802126266927,2100.3211832464335,1.809839200927903,
2196.4994087119585,102.95526262123461,2196.4994087119585,1.7466368954879932,
2297.081842032684,98.49588752871938,2297.081842032684,1.6855373633429842,
2402.270161361206,94.23097090104382,2402.270161361206,1.6263254407921646,
2512.2752801266033,90.15196237554045,2512.2752801266033,1.5688115911582075,
2627.3177699376165,86.25067243993162,2627.3177699376165,1.5128319471283107,
2747.628302851474,82.51925928065411,2747.628302851474,1.4582480616366957,
2873.448113895156,78.95021628676014,2873.448113895156,1.404946353283496,
3005.0294847665045,75.53636013950859,3005.0294847665045,1.3528372363520005,
3142.6362496850466,72.27081941267001,3142.6362496850466,1.3018539322338831,
3286.544324406816,69.14702360531979,3286.544324406816,1.251950968205201,
3437.0422594639017,66.1586925282149,3437.0422594639017,1.2031023804603733,
3594.431818738024,63.29982596727343,3594.431818738024,1.1552996503330955,
3759.028584528241,60.56469355348231,3759.028584528241,1.1085494147662747,
3931.162590326006,57.94782477771343,3931.162590326006,1.0628710033084545,
4111.17898256636,55.44399910107098,4111.17898256636,1.0182938632008234,
4299.438712682124,53.04823612585523,4299.438712682124,0.9748549405907304,
4496.31926084876,50.75578580808738,4496.31926084876,0.9325960889109306,
4702.215392871039,48.562118708728995,4702.215392871039,0.8915615746429559,
4917.539951729213,46.462916296118664,4917.539951729213,0.851795746034598,
5142.724685371758,44.454061325705446,5142.724685371758,0.8133409222022335,
5378.221112414542,42.531628334013305,5378.221112414542,0.776235549058309,
5624.501427482223,40.69187429133494,5624.501427482223,0.7405126555265747,
5882.059448007166,38.931229461636754,5882.059448007166,0.7061986295285629,
6151.41160438433,37.2462885185917,6151.41160438433,0.6733123192460799,
6433.097975467465,35.63380196385714,6433.097975467465,0.6418644521023609,
6727.68337148293,34.09066788821961,6727.68337148293,0.6118573525116068,
