#GRM155R61J224KE01,,
#2023/01/16,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1.0Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.315,-1.788293531892271,
0.63,1.3014972950914139,
0.9450000000000001,3.9815664992547406,
1.26,5.008135085488585,
1.575,4.318841184467281,
1.8900000000000001,2.224965037365245,
2.205,-0.8854070175636664,
2.52,-4.6590331022489,
2.835,-8.81180945583605,
3.15,-13.130811966646538,
3.465,-17.46440779799937,
3.7800000000000002,-21.709467252058413,
4.095,-25.799377032093528,
4.41,-29.694088793719985,
4.725,-33.372360091663865,
5.04,-36.82592977041854,
5.355,-40.05525571433913,
5.67,-43.066454678911285,
5.985,-45.8691398086619,
6.3,-48.474915319587296,
6.615,-50.89634544625176,
6.93,-53.14626186533333,
7.245,-55.23731037432427,
7.5600000000000005,-57.181665125545344,
7.875,-58.99085902914205,
8.19,-60.67569373994718,
8.505,-62.24620333294787,
8.82,-63.711653444190986,
9.135,-65.0805631342658,
9.45,-66.36074063119726,
9.765,-67.5593268749315,
10.08,-68.68284273967329,
10.395,-69.73723718564449,
10.71,-70.72793455511062,
11.025,-71.6598798979996,
11.34,-72.53758167528852,
11.655,-73.36515150427357,
11.97,-74.14634082218214,
12.285,-74.88457448413416,
12.6,-75.58298140016028,
12.915000000000001,-76.24442236941059,
13.23,-76.87151529888914,
13.545,-77.46665800685273,
13.86,-78.03204881291457,
14.175,-78.5697051117754,
14.49,-79.08148011805194,
14.805,-79.56907795774522,
15.120000000000001,-80.03406726876754,
15.435,-80.47789345946491,
15.75,-80.90188976079963,
16.065,-81.30728719513299,
16.38,-81.69522357258623,
16.695,-82.066751614861,
17.01,-82.42284629620896,
17.325,-82.76441148195744,
17.64,-83.09228593658182,
17.955000000000002,-83.4072487657321,
18.27,-83.71002434979741,
18.585,-84.00128682048292,
18.9,-84.2816641264024,
19.215,-84.55174172880596,
19.53,-84.81206596420377,
19.845,-85.06314710676135,
20.16,-85.30546215987891,
20.475,-85.53945740328386,
20.79,-85.7655507192171,
21.105,-85.98413371884789,
21.42,-86.19557368786998,
21.735,-86.40021536829053,
22.05,-86.59838259168902,
22.365,-86.7903797776791,
22.68,-86.97649330992739,
22.995,-87.15699280085059,
23.31,-87.33213225501301,
23.625,-87.5021511402623,
23.94,-87.6672753747601,
24.255,-87.82771823727717,
24.57,-87.9836812074146,
24.885,-88.13535474178096,
25.2,-88.28291899158435,
25.515,-88.42654446658985,
25.830000000000002,-88.5663926499316,
26.145,-88.70261656785725,
26.46,-88.83536131810949,
26.775,-88.96476456031448,
27.09,-89.0909569714447,
27.405,-89.21406266915088,
27.72,-89.33419960551036,
28.035,-89.45147993351789,
28.35,-89.56601034844091,
28.665,-89.67789240598131,
28.98,-89.78722281901713,
29.295,-89.89409373455047,
29.61,-89.99859299234882,
29.925,-90.10080436664553,
30.240000000000002,-90.20080779215034,
30.555,-90.29867957552023,
30.87,-90.39449259334636,
31.185,-90.48831647762822,
31.5,-90.58021778962866,
31.815,-90.67026018293264,
32.13,-90.7585045564672,
32.445,-90.84500919818264,
32.76,-90.92982992003876,
33.075,-91.0130201848926,
33.39,-91.09463122583703,
33.705,-91.17471215849926,
34.02,-91.25331008676966,
34.335,-91.33047020239621,
34.65,-91.40623587884829,
34.965,-91.48064875982335,
35.28,-91.55374884274359,
35.595,-91.62557455756371,
35.910000000000004,-91.6961628411894,
36.225,-91.76554920778308,
36.54,-91.83376781521552,
36.855,-91.90085152790307,
37.17,-91.96683197625384,
37.485,-92.03173961293031,
37.8,-92.09560376612275,
38.115,-92.15845269001356,
38.43,-92.22031361260069,
38.745,-92.28121278103781,
39.06,-92.34117550463742,
39.375,-92.40022619567408,
39.69,-92.4583884081158,
40.005,-92.51568487440329,
40.32,-92.57213754038902,
40.635,-92.62776759854077,
40.95,-92.68259551950813,
41.265,-92.73664108214355,
41.58,-92.78992340206422,
41.895,-92.84246095883559,
42.21,-92.89427162185234,
42.525,-92.9453726749878,
42.84,-92.99578084007864,
43.155,-93.0455122993077,
43.47,-93.09458271654385,
43.785000000000004,-93.14300725769394,
44.1,-93.19080061011952,
44.415,-93.2379770011672,
44.73,-93.28455021585833,
45.045,-93.33053361378244,
45.36,-93.37594014523421,
45.675,-93.42078236663367,
45.99,-93.46507245526527,
46.305,-93.50882222337043,
46.62,-93.55204313162596,
46.935,-93.59474630203883,
47.25,-93.6369425302862,
47.565,-93.6786422975279,
47.88,-93.71985578171721,
48.195,-93.76059286843432,
48.51,-93.8008631612652,
48.825,-93.8406759917481,
49.14,-93.88004042890792,
49.455,-93.9189652883981,
49.77,-93.95745914126866,
50.085,-93.99553032237733,
50.4,-94.03318693846128,
50.715,-94.07043687588403,
51.03,-94.10728780807341,
51.345,-94.1437472026643,
51.660000000000004,-94.17982232835918,
51.975,-94.2155202615201,
52.29,-94.25084789250323,
52.605,-94.28581193174807,
52.92,-94.32041891563196,
53.235,-94.35467521210022,
53.55,-94.38858702608192,
53.865,-94.42216040470039,
54.18,-94.45540124228768,
54.495,-94.48831528521119,
54.81,-94.5209081365204,
55.125,-94.55318526042194,
55.44,-94.58515198658948,
55.755,-94.61681351431615,
56.07,-94.64817491651563,
56.385,-94.67924114357825,
56.7,-94.71001702708851,
57.015,-94.74050728340919,
57.33,-94.77071651713787,
57.645,-94.80064922444112,
57.96,-94.83030979627095,
58.275,-94.85970252146878,
58.59,-94.88883158976094,
58.905,-94.91770109465061,
59.22,-94.94631503620964,
59.535000000000004,-94.9746773237748,
59.85,-95.00279177855194,
60.165,-95.03066213613171,
60.480000000000004,-95.05829204892031,
60.795,-95.08568508848836,
61.11,-95.11284474784163,
61.425,-95.13977444361589,
61.74,-95.1664775181991,
62.055,-95.192957241784,
62.37,-95.21921681435323,
62.685,-95.24525936759973,
63.0,-95.27108796678499,
