#GRM155R71C223KA01,,
#2023/01/18,,
#z,,
#DC0V 25degC,,
Frequency[Hz],Impedance[ohm],
99.99999999999999,75705.89264450474,
104.57921513303334,72401.4973841436,
109.3681223784127,69241.06279049611,
114.37632398907938,66218.35307701828,
119.61386192579457,63327.400912266225,
125.09123799230618,60562.49545151528,
130.8194348925486,57918.170998477486,
136.8099382520969,55389.196254992574,
143.0747596480305,52970.56411929227,
149.6264606933842,50657.48199636192,
156.47817822447783,48445.36258687925,
163.643650641628,46329.815124048706,
171.13724545605763,44306.6370302828,
178.97398809823787,42371.80596802062,
187.1695920454257,40521.47226100094,
195.74049032880657,38751.95166400099,
204.70386848341695,37059.71846043907,
214.07769900691426,35441.39886835972,
223.88077739628844,33893.76473623378,
234.132759834772,32413.72751078272,
244.85420260451446,30998.332459758916,
256.06660330404856,29644.753133351445,
267.79244395319193,28350.286048710645,
280.0552360718164,27112.34558304509,
292.87956782286926,25928.45906186655,
306.2911533141767,24796.262030251153,
320.3168841578819,23713.49369641914,
334.9848833909005,22677.99253847211,
350.32456186451077,21687.69206669435,
366.36667721614316,20740.616735354113,
383.1433955416162,19834.877999351538,
400.6883558914757,18968.670512285236,
419.03673772076064,18140.268463493067,
438.22533142743896,17348.022052333858,
458.2926121209498,16590.35409840119,
479.2788167687661,15865.756786514892,
501.22602487566456,15172.788545248057,
524.1782428574726,14510.071057467454,
548.1814922784702,13876.286400945952,
573.2839021293738,13270.174316606335,
599.5358053309263,12690.529601430248,
626.9898396565933,12136.19962256204,
655.7010532767296,11606.08194869167,
685.7270151358366,11099.122094439435,
717.1279303842347,10614.311373202838,
749.9667610955984,10150.684853765551,
784.3093525124082,9707.319415906717,
820.224565072452,9283.331900273299,
857.7844124811066,8877.877347874655,
897.0642061062426,8490.147324707625,
938.142705985285,8119.368327204777,
981.1022787472119,7764.800264398942,
1026.0290627661395,7425.735012898712,
1073.0131408776467,7101.495040958102,
1122.1487210041523,6791.432098089841,
1173.5343250515148,6494.925966808899,
1227.2729864556143,6211.383273199702,
1283.4724567750195,5940.2363530780785,
1342.245421743976,5680.942170574021,
1403.7097272189235,5432.98128600215,
1467.9886154715934,5195.8568699252055,
1535.2109723024755,4969.093760364887,
1605.5115854701385,4752.237560186179,
1679.031414954591,4544.853771787744,
1755.9178755965756,4346.5269663798135,
1836.3251326795319,4156.859985326385,
1920.4144110468878,3975.473171269635,
2008.3543183744998,3802.0036270346523,
2100.3211832464335,3636.104500621233,
2196.4994087119585,3477.444294911429,
2297.081842032684,3325.706201040009,
2402.270161361206,3180.5874546725663,
2512.2752801266033,3041.798714697026,
2627.3177699376165,2909.0634640461135,
2747.628302851474,2782.117432523158,
2873.448113895156,2660.708041597963,
3005.0294847665045,2544.593871175771,
3142.6362496850466,2433.544148326314,
3286.544324406816,2327.3382579016757,
3437.0422594639017,2225.7652748821474,
3594.431818738024,2128.623518181032,
3759.028584528241,2035.720125523816,
3931.162590326006,1946.8706489043157,
4111.17898256636,1861.8986700183473,
4299.438712682124,1780.6354349895323,
4496.31926084876,1702.9195076349363,
4702.215392871039,1628.5964404713754,
4917.539951729213,1557.5184626349283,
5142.724685371758,1489.5441838745428,
5378.221112414542,1424.5383137819097,
5624.501427482223,1362.371395430778,
5882.059448007166,1302.919552615929,
6151.41160438433,1246.0642499020948,
6433.097975467465,1191.6920647138907,
6727.68337148293,1139.694470717907,
7035.758466532444,1089.9676317668827,
7357.940982955574,1042.4122056937867,
7694.876929926739,996.9331572619205,
8047.241898770236,953.4395795973604,
8415.742417590522,911.8445234544128,
8801.117367933934,872.0648336949673,
9204.139466322391,834.0209924004586,
9625.616813629718,797.6369680812176,
10066.394515407255,762.8400705024997,
10527.356376407623,729.5608107081347,
11009.42667270443,697.7327658897242,
