#GRM155R71C223KA01,,
#2023/01/18,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1.0Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.08,0.13422507847129506,
0.16,0.2580834036552737,
0.24,0.37182535535442707,
0.32,0.4757066700716184,
0.4,0.5699874067159216,
0.48,0.6549309850060414,
0.56,0.7308032929189467,
0.64,0.7978718596758583,
0.72,0.8564050908902887,
0.8,0.906671562630823,
0.88,0.9489393712858396,
0.96,0.983475536214562,
1.04,1.0105454523164692,
1.12,1.030412389730273,
1.2,1.043337038009362,
1.28,1.0495770922100522,
1.36,1.0493868784491323,
1.44,1.043017016567549,
1.52,1.0307141176636225,
1.6,1.012720514331078,
1.68,0.9892740215476925,
1.76,0.960607726252305,
1.84,0.9269498037253632,
1.92,0.8885233589951635,
2.0,0.8455462915626599,
2.08,0.7982311818250931,
2.16,0.7467851976652007,
2.24,0.6914100197417561,
2.32,0.632301784098277,
2.4,0.5696510407814381,
2.48,0.5036427272274491,
2.56,0.4344561552419801,
2.64,0.3622650104721403,
2.72,0.2872373633237002,
2.8000000000000003,0.20953569034498631,
2.88,0.12931690514601524,
2.96,0.04673239798798079,
3.04,-0.038071916760284985,
3.12,-0.12495554608974446,
3.2,-0.21378335743396093,
3.2800000000000002,-0.3044255120452699,
3.36,-0.3967573932938784,
3.44,-0.49065953046062427,
3.52,-0.5860175185818051,
3.6,-0.682721934840147,
3.68,-0.7806682519691077,
3.7600000000000002,-0.8797567491203084,
3.84,-0.9798924205754456,
3.92,-1.0809848826982327,
4.0,-1.1829482794454949,
4.08,-1.285701186775856,
4.16,-1.389166516230611,
4.24,-1.4932714179620499,
4.32,-1.5979471834534964,
4.4,-1.7031291481460542,
4.48,-1.8087565941782957,
4.5600000000000005,-1.9147726534358256,
4.64,-2.0211242110523386,
4.72,-2.1277618095354778,
4.8,-2.2346395536361308,
4.88,-2.3417150160943145,
4.96,-2.4489491443602907,
5.04,-2.5563061683876454,
5.12,-2.663753509586131,
5.2,-2.7712616910003374,
5.28,-2.8788042487856935,
5.36,-2.986357645026083,
5.44,-3.093901181942149,
5.5200000000000005,-3.201416917532396,
5.6000000000000005,-3.308889582671537,
5.68,-3.416306499688715,
5.76,-3.5236575024492844,
5.84,-3.630934857951762,
5.92,-3.7381331894363656,
6.0,-3.8452494010151272,
6.08,-3.9522826038352,
6.16,-4.059234043735726,
6.24,-4.166107030426247,
6.32,-4.2729068681496845,
6.4,-4.37964078781955,
6.48,-4.4863178806216375,
6.5600000000000005,-4.592949033062698,
6.640000000000001,-4.699546863419446,
6.72,-4.806125659594662,
6.8,-4.912701318343227,
6.88,-5.019291285835603,
6.96,-5.125914499544271,
7.04,-5.232591331412095,
7.12,-5.339343532282892,
7.2,-5.44619417755986,
7.28,-5.5531676140681885,
7.36,-5.66028940808192,
7.44,-5.767586294491012,
7.5200000000000005,-5.875086127071139,
7.6000000000000005,-5.982817829848674,
7.68,-6.090811349487312,
7.76,-6.19909760871129,
7.84,-6.307708460701833,
7.92,-6.416676644465758,
8.0,-6.526035741113489,
8.08,-6.635820131041193,
8.16,-6.74606495199207,
8.24,-6.856806057945642,
8.32,-6.968079978832053,
8.4,-7.079923881025074,
8.48,-7.192375528601314,
8.56,-7.305473245338057,
8.64,-7.419255877406461,
8.72,-7.5337627567832355,
8.8,-7.649033665288574,
8.88,-7.76510879928245,
8.96,-7.882028734995616,
9.040000000000001,-7.9998343944212795,
9.120000000000001,-8.118567011819156,
9.200000000000001,-8.238268100759182,
9.28,-8.358979421701951,
9.36,-8.48074295011909,
9.44,-8.603600845087945,
9.52,-8.727595418403256,
9.6,-8.85276910414089,
9.68,-8.979164428686426,
9.76,-9.106823981195333,
9.84,-9.235790384499133,
9.92,-9.366106266417852,
10.0,-9.49781423147461,
10.08,-9.63095683300259,
10.16,-9.765576545648692,
10.24,-9.901715738226846,
10.32,-10.039416646958777,
10.4,-10.178721349050402,
10.48,-10.319671736627178,
10.56,-10.462309491007883,
10.64,-10.606676057314369,
10.72,-10.752812619397345,
10.8,-10.900760075104376,
10.88,-11.05055901185329,
10.96,-11.202249682525188,
11.040000000000001,-11.355871981661558,
11.120000000000001,-11.511465421988875,
11.200000000000001,-11.669069111222852,
11.28,-11.82872172919761,
11.36,-11.990461505293426,
11.44,-12.154326196153454,
11.52,-12.320353063732469,
11.6,-12.48857885361513,
11.68,-12.65903977365339,
11.76,-12.831771472911468,
11.84,-13.00680902091308,
11.92,-13.184186887185867,
12.0,-13.363938921138917,
12.08,-13.54609833222601,
12.16,-13.73069767044507,
12.24,-13.917768807144181,
12.32,-14.107342916166887,
12.4,-14.299450455295293,
12.48,-14.494121148051997,
12.56,-14.691383965828708,
12.64,-14.89126711034131,
12.72,-15.093797996457138,
12.8,-15.299003235344733,
12.88,-15.506908617997105,
12.96,-15.7175390991123,
13.040000000000001,-15.930918781335047,
13.120000000000001,-16.147070899881676,
13.200000000000001,-16.366017807533485,
13.280000000000001,-16.5877809600228,
13.36,-16.81238090181004,
13.44,-17.039837252252,
13.52,-17.27016869218082,
13.6,-17.503392950893904,
13.68,-17.73952679355837,
13.76,-17.97858600902692,
13.84,-18.22058539811987,
13.92,-18.465538762299992,
14.0,-18.71345889282079,
14.08,-18.96435756031183,
14.16,-19.218245504817766,
14.24,-19.475132426315678,
14.32,-19.735026975676583,
14.4,-19.997936746129387,
14.48,-20.26386826517025,
14.56,-20.532826987003926,
14.64,-20.804817285433952,
14.72,-21.079842447271645,
14.8,-21.357904666261398,
14.88,-21.639005037479897,
14.96,-21.92314355227909,
15.040000000000001,-22.210319093736096,
15.120000000000001,-22.500529432624127,
15.200000000000001,-22.7937712239236,
15.280000000000001,-23.09004000384336,
15.36,-23.389330187400127,
15.44,-23.691635066522622,
15.52,-23.996946808706365,
15.6,-24.305256456208134,
15.68,-24.616553925800865,
15.76,-24.930828009058015,
15.84,-25.24806637322312,
15.92,-25.568255562603316,
16.0,-25.89138100053806,
