#GRM155R71C223KA01,,
#In Production,,
#2023/01/18,,
#r,,
#DC0V 25degC,,
Frequency[Hz],Resistance[ohm],
99.99999999999999,387.452275468786,
104.57921513303334,367.49807331255533,
109.3681223784127,348.64994214789226,
114.37632398907938,330.8645584273763,
119.61386192579457,314.09516798307914,
125.09123799230618,298.2925565274147,
130.8194348925486,283.40593854832616,
136.8099382520969,269.383760057041,
143.0747596480305,256.1744135364299,
149.6264606933842,243.72686598319387,
156.47817822447783,231.99120234917768,
163.643650641628,220.91908812737756,
171.13724545605763,210.46415498767433,
178.97398809823787,200.58231405412405,
187.1695920454257,191.23200108806302,
195.74049032880657,182.37435777457506,
204.70386848341695,173.97335317191607,
214.07769900691426,165.99584904905893,
223.88077739628844,158.41161285824919,
234.132759834772,151.1932821416352,
244.85420260451446,144.31628432614178,
256.06660330404856,137.7587162760327,
267.79244395319193,131.50118843344487,
280.0552360718164,125.52663891319895,
292.87956782286926,119.82012346611108,
306.2911533141767,114.36858765461784,
320.3168841578819,109.16062797770819,
334.9848833909005,104.1862486702124,
350.32456186451077,99.43662087806729,
366.36667721614316,94.90385043373891,
383.1433955416162,90.58075983040736,
400.6883558914757,86.46068911088413,
419.03673772076064,82.53731935139763,
438.22533142743896,78.80452127110222,
458.2926121209498,75.25623034551629,
479.2788167687661,71.88634868977145,
501.22602487566456,68.68867295889795,
524.1782428574726,65.65684668446333,
548.1814922784702,62.784334796176715,
573.2839021293738,60.06441762300517,
599.5358053309263,57.490201412407856,
626.9898396565933,55.054642312268115,
655.7010532767296,52.75058084434217,
685.7270151358366,50.57078407459863,
717.1279303842347,48.50799295993099,
749.9667610955984,46.55497267270328,
784.3093525124082,44.70456403285916,
820.224565072452,42.94973451544572,
857.7844124811066,41.283627596377514,
897.0642061062426,39.69960946441275,
938.142705985285,38.191312338316436,
981.1022787472119,36.752673796569354,
1026.0290627661395,35.377971641698466,
1073.0131408776467,34.06185390645326,
1122.1487210041523,32.7993636516692,
1173.5343250515148,31.58595824682029,
1227.2729864556143,30.417522844163468,
1283.4724567750195,29.290377794968308,
1342.245421743976,28.201279805922944,
1403.7097272189235,27.147416711223666,
1467.9886154715934,26.12639584160814,
1535.2109723024755,25.13622611242416,
1605.5115854701385,24.17529411681041,
1679.031414954591,23.242334696803347,
1755.9178755965756,22.336396658717955,
1836.3251326795319,21.4568044861125,
1920.4144110468878,20.603117067641584,
2008.3543183744998,19.77508458580299,
2100.3211832464335,18.972604788722286,
2196.4994087119585,18.19567988703537,
2297.081842032684,17.44437527427667,
2402.270161361206,16.718781166527048,
2512.2752801266033,16.018978100008855,
2627.3177699376165,15.345007029359426,
2747.628302851474,14.696844544742225,
2873.448113895156,14.074383492869286,
3005.0294847665045,13.477419058588533,
3142.6362496850466,12.905640154912556,
3286.544324406816,12.3586257909596,
3437.0422594639017,11.835845945856816,
3594.431818738024,11.336666376272024,
3759.028584528241,10.860356724921038,
3931.162590326006,10.406101273639575,
4111.17898256636,9.973011693191618,
4299.438712682124,9.560141174198558,
4496.31926084876,9.166499374052703,
4702.215392871039,8.791067675304728,
4917.539951729213,8.432814316241213,
5142.724685371758,8.090709019088111,
5378.221112414542,7.7637368022427005,
5624.501427482223,7.450910717656226,
5882.059448007166,7.151283302947285,
6151.41160438433,6.863956579365012,
6433.097975467465,6.588090463776347,
6727.68337148293,6.322909496141941,
7035.758466532444,6.067707816166208,
7357.940982955574,5.821852355515082,
7694.876929926739,5.584784246573525,
8047.241898770236,5.356018486352837,
8415.742417590522,5.1351419340398206,
