#GRM21BC71E106KE11,,
#2023/01/16,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.125,0.5028448851212897,
0.25,0.853257222897974,
0.375,1.0567788490253083,
0.5,1.1194602160550682,
0.625,1.0477697637649719,
0.75,0.8485073473003757,
0.875,0.5287224678831581,
1.0,0.0956378768560695,
1.125,-0.4434210371280112,
1.25,-1.0810908141775655,
1.375,-1.8100283093599456,
1.5,-2.622962880156521,
1.625,-3.512742454424811,
1.75,-4.472373640525962,
1.875,-5.495056108725094,
2.0,-6.574211526443941,
2.125,-7.703507370583762,
2.25,-8.876875969190367,
2.375,-10.088529143498647,
2.5,-11.332968831176714,
2.625,-12.604994073667342,
2.75,-13.899704746118447,
2.875,-15.212502398653992,
3.0,-16.53908856372064,
3.125,-17.875460866914526,
3.25,-19.217907258907495,
3.375,-20.56299866460852,
3.5,-21.907580323169828,
3.625,-23.248762069438477,
3.75,-24.583907784430338,
3.875,-25.91062421975021,
4.0,-27.22674937890739,
4.125,-28.530340617421345,
4.25,-29.81966260365634,
4.375,-31.093175263596617,
4.5,-32.34952181535494,
4.625,-33.587516983144816,
4.75,-34.80613546574973,
4.875,-36.00450072118244,
5.0,-37.181874117205794,
5.125,-38.33764448663789,
5.25,-39.471318116824484,
5.375,-40.58250919426117,
5.5,-41.67093071801114,
5.625,-42.736385889211725,
5.75,-43.778759978515424,
5.875,-44.798012668686646,
6.0,-45.7941708657001,
6.125,-46.76732196848037,
6.25,-47.71760758481766,
6.375,-48.645217678922826,
6.5,-49.55038513448034,
6.625,-50.433380715867,
6.75,-51.29450840936825,
6.875,-52.13410112569714,
7.0,-52.95251674485713,
7.125,-53.750134484347946,
7.25,-54.52735157186102,
7.375,-55.28458020390967,
7.5,-56.02224477226698,
7.625,-56.7407793406107,
7.75,-57.44062535438121,
7.875,-58.1222295675249,
8.0,-58.78604217050385,
8.125,-59.432515104691944,
8.25,-60.06210054903205,
