#GRM32DC72A475ME01,,#GRM32DC72A475ME01,,
#2023/01/18,,#2023/01/18,,
#z,,#r,,
#DC0V 25degC,,#DC0V 25degC,,
Frequency[Hz],Impedance[ohm],Frequency[Hz],Resistance[ohm],
99.99999999999999,354.4163550492463,99.99999999999999,2.336256087551761,
104.57921513303334,338.95939811393055,104.57921513303334,2.2398026373128643,
109.3681223784127,324.1759201175254,109.3681223784127,2.148053916732485,
114.37632398907938,310.0367454610407,114.37632398907938,2.060858360793814,
119.61386192579457,296.513959119709,119.61386192579457,1.9780406206290493,
125.09123799230618,283.5808491778362,125.09123799230618,1.8994062414321857,
130.8194348925486,271.21185245019575,130.8194348925486,1.824746136219164,
136.8099382520969,259.38250300012277,136.8099382520969,1.7538407994834506,
143.0747596480305,248.06938337153105,143.0747596480305,1.6864642232876135,
149.6264606933842,237.25007836195132,149.6264606933842,1.6223874938730647,
156.47817822447783,226.90313117536874,156.47817822447783,1.5613820591701062,
163.643650641628,217.0080018061932,163.643650641628,1.5032226666734443,
171.13724545605763,207.54502751830145,171.13724545605763,1.4476899772052885,
178.97398809823787,198.49538529508254,178.97398809823787,1.394572863451021,
187.1695920454257,189.84105614723768,187.1695920454257,1.343670403266881,
195.74049032880657,181.56479117435103,195.74049032880657,1.2947935771446188,
204.70386848341695,173.65007928370662,204.70386848341695,1.2477666774441105,
214.07769900691426,166.08111647537854,214.07769900691426,1.2024284346445235,
223.88077739628844,158.8427766063135,223.88077739628844,1.1586328635002794,
234.132759834772,151.9205835481501,234.132759834772,1.1162498301445303,
244.85420260451446,145.3006846541969,244.85420260451446,1.0751653403305323,
256.06660330404856,138.96982545075724,256.06660330404856,1.0352815494857437,
267.79244395319193,132.9153254673796,267.79244395319193,0.9965164973089748,
280.0552360718164,127.12505512019382,280.0552360718164,0.9588035733169435,
292.87956782286926,121.58741356285142,292.87956782286926,0.9220907249229012,
306.2911533141767,116.29130742124295,306.2911533141767,0.8863394260129849,
320.3168841578819,111.22613033153168,320.3168841578819,0.8515234311041594,
334.9848833909005,106.38174320636632,334.9848833909005,0.817627347440033,
350.32456186451077,101.74845516146466,350.32456186451077,0.7846450641438422,
366.36667721614316,97.31700504393044,366.36667721614316,0.7525780831502555,
