#GRM32DR72D224KW01,,
#2023/01/18,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
1.0,0.18927406939890368,
2.0,0.3431699593358095,
3.0,0.46230704680936263,
4.0,0.5473351780453939,
5.0,0.5989322304992939,
6.0,0.6178017090883392,
7.0,0.6046703829804878,
8.0,0.5602859687248385,
9.0,0.48541486497588604,
10.0,0.38083994353848016,
11.0,0.24735840095042594,
12.0,0.08577967432086275,
13.0,-0.10307657533867864,
14.0,-0.31838240951751473,
15.0,-0.5593034860167934,
16.0,-0.8250008582667667,
17.0,-1.1146326986551935,
18.0,-1.4273559447553374,
19.0,-1.762327867705371,
20.0,-2.1187075623314344,
21.0,-2.4956573589256736,
22.0,-2.892344156887383,
23.0,-3.3079406807103418,
24.0,-3.74162665905291,
25.0,-4.192589927859602,
26.0,-4.6600274587143335,
27.0,-5.143146313796743,
28.0,-5.641164528984688,
29.0,-6.153311926798688,
30.0,-6.678830861018714,
31.0,-7.216976894920757,
32.0,-7.767019415181242,
33.0,-8.32824218358218,
34.0,-8.899943828719447,
35.0,-9.481438279972798,
36.0,-10.072055146038295,
37.0,-10.671140040354366,
38.0,-11.278054855770936,
39.0,-11.892177990819686,
40.0,-12.512904529940815,
41.0,-13.139646380011548,
42.0,-13.771832365501858,
43.0,-14.40890828455661,
44.0,-15.050336928269537,
45.0,-15.695598065375249,
46.0,-16.34418839454026,
47.0,-16.99562146638446,
48.0,-17.649427577310604,
49.0,-18.305153637161865,
50.0,-18.962363012667204,
51.0,-19.620635348570925,
52.0,-20.27956636827821,
53.0,-20.938767655781355,
54.0,-21.597866420563705,
55.0,-22.256505247109693,
56.0,-22.914341830579875,
57.0,-23.57104870014125,
58.0,-24.226312931373084,
59.0,-24.87983584910061,
60.0,-25.53133272194029,
61.0,-26.180532449773718,
62.0,-26.827177245300348,
63.0,-27.471022310755412,
64.0,-28.11183551081492,
65.0,-28.74939704264843,
66.0,-29.383499104019663,
67.0,-30.01394556027638,
68.0,-30.640551611014544,
69.0,-31.26314345714656,
70.0,-31.881557969050533,
71.0,-32.49564235642678,
72.0,-33.105253840438195,
73.0,-33.71025932866476,
74.0,-34.31053509335699,
75.0,-34.905966453430395,
76.0,-35.49644746060171,
77.0,-36.08188059002904,
78.0,-36.66217643578048,
79.0,-37.23725341142089,
80.0,-37.80703745597309,
81.0,-38.37146174547814,
82.0,-38.93046641034987,
83.0,-39.48399825869061,
84.0,-40.03201050570894,
85.0,-40.574462509355726,
86.0,-41.11131951227139,
87.0,-41.642552390115775,
88.0,-42.16813740633255,
89.0,-42.688055973380536,
90.0,-43.20229442044765,
91.0,-43.71084376764694,
92.0,-44.21369950667937,
93.0,-44.710861387934784,
94.0,-45.20233321398936,
95.0,-45.688122639447336,
96.0,-46.16824097706369,
97.0,-46.64270301007538,
98.0,-47.1115268106606,
99.0,-47.574733564437,
100.0,-48.03234740090432,
101.0,-48.48439522972935,
102.0,-48.93090658276733,
103.0,-49.3719134617081,
104.0,-49.807450191231965,
105.0,-50.23755327755672,
106.0,-50.66226127225435,
107.0,-51.08161464121355,
108.0,-51.495655638622765,
109.0,-51.90442818584646,
110.0,-52.30797775506693,
111.0,-52.706351257562844,
112.0,-53.09959693649618,
113.0,-53.487764264078265,
114.0,-53.870903842987204,
115.0,-54.2490673119087,
116.0,-54.62230725507363,
117.0,-54.99067711566674,
118.0,-55.354231112982234,
119.0,-55.713024163203514,
120.0,-56.06711180368602,
121.0,-56.41655012062373,
122.0,-56.76139567998253,
123.0,-57.10170546158453,
124.0,-57.437536796231335,
125.0,-57.768947305754416,
126.0,-58.09599484588508,
127.0,-58.41873745183766,
128.0,-58.737233286502345,
129.0,-59.05154059114681,
130.0,-59.36171763852822,
131.0,-59.66782268831907,
132.0,-59.96991394475464,
133.0,-60.26804951641005,
134.0,-60.5622873780195,
135.0,-60.85268533425187,
136.0,-61.13930098535961,
137.0,-61.422191694620444,
138.0,-61.70141455749396,
139.0,-61.977026372417576,
140.0,-62.24908361316923,
141.0,-62.517642402725826,
142.0,-62.78275848854975,
143.0,-63.044487219237745,
144.0,-63.30288352246855,
145.0,-63.55800188418868,
146.0,-63.809896328977224,
147.0,-64.05862040153352,
148.0,-64.30422714923289,
149.0,-64.54676910569874,
150.0,-64.78629827534053,
151.0,-65.02286611880955,
152.0,-65.25652353932675,
153.0,-65.4873208698379,
154.0,-65.71530786095441,
155.0,-65.94053366963892,
156.0,-66.16304684859716,
157.0,-66.3828953363394,
158.0,-66.60012644787602,
159.0,-66.81478686601383,
160.0,-67.02692263322085,
161.0,-67.2365791440298,
162.0,-67.4438011379506,
163.0,-67.64863269286501,
164.0,-67.85111721887698,
165.0,-68.05129745259435,
166.0,-68.24921545181813,
167.0,-68.44491259061726,
168.0,-68.63842955476869,
169.0,-68.82980633754141,
170.0,-69.0190822358077,
171.0,-69.20629584646282,
172.0,-69.3914850631367,
173.0,-69.5746870731828,
174.0,-69.75593835492904,
175.0,-69.9352746751774,
176.0,-70.1127310869389,
177.0,-70.28834192739299,
178.0,-70.46214081605937,
179.0,-70.63416065317195,
180.0,-70.80443361824571,
181.0,-70.97299116882702,
182.0,-71.13986403941885,
183.0,-71.30508224057385,
184.0,-71.46867505814726,
185.0,-71.63067105270312,
186.0,-71.79109805906793,
187.0,-71.9499831860256,
188.0,-72.10735281614828,
189.0,-72.26323260575842,
190.0,-72.41764748501696,
191.0,-72.57062165813377,
192.0,-72.72217860369585,
193.0,-72.87234107510966,
194.0,-73.02113110115404,
195.0,-73.16856998664043,
196.0,-73.31467831317624,
197.0,-73.4594759400292,
198.0,-73.60298200508949,
199.0,-73.74521492592581,
200.0,-73.88619240093286,
