#GRM32DR72E224KW01,,
#2023/01/18,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
1.25,0.2310410955980613,
2.5,0.4070434233926834,
3.75,0.5292392447826089,
5.0,0.5989322304992939,
6.25,0.6174900857005561,
7.5,0.5863373236450364,
8.75,0.5069482158602145,
10.0,0.38083994353848016,
11.25,0.20956597179306868,
12.5,-0.0052903346014598895,
13.75,-0.26212183825331525,
15.0,-0.5593034860167934,
16.25,-0.8951978853359854,
17.5,-1.268160592208134,
18.75,-1.6765451052272895,
20.0,-2.1187075623314344,
21.25,-2.593011138874568,
22.5,-3.0978301474805403,
23.75,-3.6315538418071003,
25.0,-4.192589927859602,
26.25,-4.779367787847189,
27.5,-5.390341422774403,
28.75,-6.023992121014121,
30.0,-6.678830861018714,
31.25,-7.353400457102732,
32.5,-8.04627745787979,
33.75,-8.756073807465148,
35.0,-9.481438279972798,
36.25,-10.221057698148828,
37.5,-10.97365794719989,
38.75,-11.73800479500413,
40.0,-12.512904529940815,
41.25,-13.297204427550257,
42.5,-14.089793057146649,
43.75,-14.889600439358851,
45.0,-15.695598065375249,
46.25,-16.506798788425936,
47.5,-17.322256597753494,
48.75,-18.1410662850088,
50.0,-18.962363012667204,
51.25,-19.785321793695708,
52.5,-20.60915689132089,
53.75,-21.433121147351976,
55.0,-22.256505247109693,
56.25,-23.078636928601526,
57.5,-23.898880143171365,
58.75,-24.716634174439633,
60.0,-25.53133272194029,
61.25,-26.34244295545728,
62.5,-27.149464545665623,
63.75,-27.951928676294134,
65.0,-28.74939704264843,
66.25,-29.541460840966682,
67.5,-30.32773975272588,
68.75,-31.10788092767577,
70.0,-31.881557969050533,
71.25,-32.648469924095345,
72.5,-33.408340282747474,
73.75,-34.16091598702773,
75.0,-34.905966453430395,
76.25,-35.64328261034607,
77.5,-36.3726759523133,
78.75,-37.093977612671004,
80.0,-37.80703745597309,
81.25,-38.511723191331996,
82.5,-39.207919507674006,
83.75,-39.89552723172095,
85.0,-40.574462509355726,
86.25,-41.24465601088447,
87.5,-41.90605216057519,
88.75,-42.558608390731514,
90.0,-43.20229442044765,
91.25,-43.83709155909086,
92.5,-44.462992034464875,
93.75,-45.07999834552583,
95.0,-45.688122639447336,
96.25,-46.28738611276552,
97.5,-46.87781843627564,
98.75,-47.45945720330048,
100.0,-48.03234740090432,
101.25,-48.59654090358845,
102.5,-49.15209598896874,
103.75,-49.69907687490879,
105.0,-50.23755327755672,
106.25,-50.76759998971612,
107.5,-51.289296478964545,
108.75,-51.80272650492248,
110.0,-52.30797775506693,
111.25,-52.80514149847827,
112.5,-53.29431225690728,
113.75,-53.7755874925485,
115.0,-54.2490673119087,
116.25,-54.71485418516361,
117.5,-55.17305268040191,
118.75,-55.623769212163296,
120.0,-56.06711180368602,
121.25,-56.50318986229082,
122.5,-56.93211396733757,
123.75,-57.3539956702047,
125.0,-57.768947305754416,
126.25,-58.177081814758694,
127.5,-58.57851257677771,
128.75,-58.97335325299491,
130.0,-59.36171763852822,
131.25,-59.7437195237533,
132.5,-60.119472564188236,
