#GRM32EC72A106ME05,,
#2023/01/18,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.5,0.007863477543801345,
1.0,-0.0917739538575213,
1.5,-0.29371367790894665,
2.0,-0.5926208024924273,
2.5,-0.983069982589424,
3.0,-1.4595877152387526,
3.5,-2.016691023846384,
4.0,-2.64892250779194,
4.5,-3.350881784315085,
5.0,-4.117253393299269,
5.5,-4.9428312721111585,
6.0,-5.822539937512328,
6.5,-6.751452535313318,
7.0,-7.724805936418733,
7.5,-8.738013070767469,
8.0,-9.786672698971033,
8.5,-10.866576825752784,
9.0,-11.973715960137133,
9.5,-13.104282425247604,
10.0,-14.254671916034523,
10.5,-15.421483496717004,
11.0,-16.601518221602795,
11.5,-17.79177655361327,
12.0,-18.989454744621504,
12.5,-20.19194033089824,
13.0,-21.39680688580562,
13.5,-22.601808160597813,
14.0,-23.804871732960976,
14.5,-25.004092271903122,
15.0,-26.19772451690805,
15.5,-27.38417605899228,
16.0,-28.562000001522158,
16.5,-29.72988756941418,
17.0,-30.88666072668823,
17.5,-32.03126485429456,
18.0,-33.16276153269604,
18.5,-34.280321466858354,
19.0,-35.383217585068884,
19.5,-36.47081833735493,
20.0,-37.542581214179386,
20.5,-38.598046501531236,
21.0,-39.63683128446902,
21.5,-40.658623707587395,
22.0,-41.66317749772591,
22.5,-42.65030675149502,
23.0,-43.61988098782103,
23.5,-44.571820463681114,
24.0,-45.506091749477406,
24.5,-46.422703559057545,
25.0,-47.321702828199875,
25.5,-48.20317103441686,
26.0,-49.067220750166854,
26.5,-49.913992420977294,
27.0,-50.74365135955211,
27.5,-51.55638494664097,
28.0,-52.35240002927187,
28.5,-53.13192050687314,
29.0,-53.89518509582323,
29.5,-54.642445263051464,
30.0,-55.37396331946034,
30.5,-56.0900106641367,
31.0,-56.790866170558154,
31.5,-57.47681470627256,
32.0,-58.148145777825164,
32.5,-58.80515229302388,
33.0,-59.44812943296219,
33.5,-60.07737362655706,
34.0,-60.693181620701196,
34.5,-61.29584963947152,
35.0,-61.88567262617628,
35.5,-62.46294356235991,
36.0,-63.02795285821246,
36.5,-63.580987809152404,
37.0,-64.12233211366221,
37.5,-64.65226544775551,
38.0,-65.17106309174498,
38.5,-65.67899560525458,
39.0,-66.1763285466856,
39.5,-66.66332223359616,
40.0,-67.14023154069336,
40.5,-67.60730573236243,
41.0,-68.06478832687175,
41.5,-68.51291698959317,
42.0,-68.95192345276665,
42.5,-69.38203345951668,
43.0,-69.80346672999318,
43.5,-70.21643694766695,
44.0,-70.62115176395527,
44.5,-71.01781281948749,
45.0,-71.40661578044973,
45.5,-71.78775038856287,
46.0,-72.16140052336013,
46.5,-72.52774427552939,
47.0,-72.88695403018207,
47.5,-73.23919655899648,
48.0,-73.58463312026493,
48.5,-73.923419565948,
49.0,-74.25570645491051,
49.5,-74.58163917157576,
50.0,-74.90135804929537,
50.5,-75.21499849778674,
51.0,-75.52269113404087,
51.5,-75.8245619161501,
52.0,-76.12073227955008,
52.5,-76.4113192752099,
53.0,-76.69643570934224,
53.5,-76.97619028424137,
54.0,-77.25068773988829,
54.5,-77.52002899599447,
55.0,-77.7843112941829,
55.5,-78.04362834003396,
56.0,-78.2980704447471,
56.5,-78.54772466619528,
57.0,-78.79267494917099,
57.5,-79.03300226464397,
58.0,-79.26878474787303,
58.5,-79.50009783523258,
59.0,-79.72701439963417,
59.5,-79.94960488444246,
60.0,-80.16793743580057,
60.5,-80.38207803329975,
61.0,-80.59209061894161,
61.5,-80.79803722436077,
62.0,-80.99997809628732,
62.5,-81.1979718202478,
63.0,-81.39207544251464,
63.5,-81.58234459033042,
64.0,-81.7688335904466,
64.5,-81.95159558602917,
65.0,-82.13068265199868,
65.5,-82.3061459088819,
66.0,-82.47803563526743,
66.5,-82.64640137896708,
67.0,-82.81129206699754,
67.5,-82.97275611450628,
68.0,-83.13084153277687,
68.5,-83.2855960364568,
69.0,-83.43706715016093,
69.5,-83.58530231461107,
70.0,-83.73034899247916,
70.5,-83.87225477410692,
71.0,-84.01106748328166,
71.5,-84.14683528325074,
72.0,-84.27960678316009,
72.5,-84.4094311451029,
73.0,-84.53635819196812,
73.5,-84.66043851627049,
74.0,-84.78172359014809,
74.5,-84.9002658767013,
75.0,-85.01611894284538,
75.5,-85.12933757383477,
76.0,-85.23997788960862,
76.5,-85.34809746309242,
77.0,-85.45375544056792,
77.5,-85.55701266421087,
78.0,-85.65793179686536,
78.5,-85.75657744909822,
79.0,-85.85301630854498,
79.5,-85.94731727152205,
80.0,-86.0395515768392,
80.5,-86.12979294169914,
81.0,-86.21811769952049,
81.5,-86.30460493946434,
82.0,-86.38933664737665,
82.5,-86.47239784779403,
83.0,-86.55387674657959,
83.5,-86.63386487367195,
84.0,-86.71245722534053,
84.5,-86.7897524052358,
85.0,-86.8658527634199,
85.5,-86.94086453244077,
86.0,-87.01489795939239,
86.5,-87.08806743276457,
87.0,-87.16049160274592,
87.5,-87.23229349348757,
88.0,-87.30360060567924,
88.5,-87.37454500761525,
