#GRM32ER71K475KE14,,
#2023/01/18,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1.0Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.4,-0.1209970345631417,
0.8,-0.21616545372524776,
1.2000000000000002,-0.2911972296056109,
1.6,-0.3520568202805552,
2.0,-0.40466261908485013,
2.4000000000000004,-0.45468596893573077,
2.8000000000000003,-0.5074287080676143,
3.2,-0.5677532862612189,
3.6,-0.6400480737707492,
4.0,-0.7282161616770644,
4.4,-0.8356797323516574,
4.800000000000001,-0.965394611882775,
5.2,-1.1198713240659686,
5.6000000000000005,-1.3012001232992398,
6.0,-1.5110782727472127,
6.4,-1.7508383746219547,
6.800000000000001,-2.0214769315339165,
7.2,-2.3236825753816692,
7.6000000000000005,-2.6578635794277328,
8.0,-3.024174394627843,
8.4,-3.4225410396462985,
8.8,-3.85268523671245,
9.200000000000001,-4.314147230345833,
9.600000000000001,-4.806307258379661,
10.0,-5.328405668299752,
10.4,-5.879561689260537,
10.8,-6.458790882971388,
11.200000000000001,-7.065021306200769,
11.600000000000001,-7.697108424758248,
12.0,-8.353848824087484,
12.4,-9.03399276545147,
12.8,-9.736255639423286,
13.200000000000001,-10.459328370218524,
13.600000000000001,-11.201886825498143,
14.0,-11.96260028674877,
14.4,-12.740139035306042,
14.8,-13.533181108622772,
15.200000000000001,-14.340418280548606,
15.600000000000001,-15.16056131823973,
16.0,-15.992344566929484,
16.400000000000002,-16.834529912168637,
16.8,-17.685910167370967,
17.2,-18.545311932577878,
17.6,-19.411597968338768,
18.0,-20.28366912651327,
18.400000000000002,-21.160465877661927,
18.8,-22.040969472526783,
19.200000000000003,-22.924202772949155,
19.6,-23.80923078541004,
20.0,-24.695160928271754,
20.400000000000002,-25.581143061718382,
20.8,-26.466369307376112,
21.200000000000003,-27.35007368264053,
21.6,-28.231531572849143,
22.0,-29.110059062642122,
22.400000000000002,-29.985012146112012,
22.8,-30.85578583371734,
23.200000000000003,-31.72181317237349,
23.6,-32.58256419365956,
24.0,-33.43754480370791,
24.400000000000002,-34.28629562703838,
24.8,-35.1283908153865,
25.200000000000003,-35.96343683144767,
25.6,-36.79107121639997,
26.0,-37.61096134910408,
26.400000000000002,-38.42280320396275,
26.8,-39.22632011360171,
27.200000000000003,-40.021261541766904,
27.6,-40.80740187112496,
28.0,-41.58453921002365,
28.400000000000002,-42.352494221674256,
28.8,-43.11110897869164,
29.200000000000003,-43.86024584544237,
29.6,-44.599786390218966,
30.0,-45.329630328860894,
30.400000000000002,-46.04969450109184,
30.8,-46.759911880531426,
31.200000000000003,-47.46023061904508,
31.6,-48.15061312586568,
32.0,-48.83103518167362,
32.4,-49.5014850876551,
32.800000000000004,-50.161962849362695,
33.2,-50.812479395070945,
33.6,-51.45305582818502,
34.0,-52.083722713149264,
34.4,-52.704519394212255,
34.800000000000004,-53.31549334632613,
35.2,-53.91669955739067,
35.6,-54.508199941001514,
36.0,-55.090062778822855,
