#GRT188R61H225KE13,,
#2023/01/16,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.25,0.18098714789061,
0.5,0.07991845847115098,
0.75,-0.28479315894871515,
1.0,-0.8934621940184351,
1.25,-1.7255693746418665,
1.5,-2.760160488777663,
1.75,-3.976201219335551,
2.0,-5.352886006347058,
2.25,-6.869900635487413,
2.5,-8.507639630854214,
2.75,-10.247380610870682,
3.0,-12.07141856898718,
3.25,-13.963163593013217,
3.5,-15.907205870522478,
3.75,-17.889351976888136,
4.0,-19.896636441046965,
4.25,-21.917312464325523,
4.5,-23.9408254591316,
4.75,-25.957772803201962,
5.0,-27.959852893901193,
5.25,-29.939806254553748,
5.5,-31.89135110613123,
5.75,-33.80911548465061,
6.0,-35.68856766622909,
6.25,-37.52594636416319,
6.5,-39.31819188974406,
6.75,-41.062879223084295,
7.0,-42.75815372287901,
7.25,-44.40267001451722,
7.5,-45.995534433240294,
7.75,-47.53625126148183,
8.0,-49.02467288510613,
8.25,-50.46095389977605,
8.5,-51.84550912381635,
8.75,-53.17897541540697,
9.0,-54.462177147532856,
9.25,-55.696095161754315,
9.5,-56.88183899963689,
9.75,-58.02062219685562,
10.0,-59.11374041802651,
10.25,-60.162552208861285,
10.5,-61.16846214510987,
10.75,-62.13290616394707,
11.0,-63.05733887211432,
11.25,-63.94322263553839,
11.5,-64.79201826672364,
11.75,-65.60517713847521,
12.0,-66.3841345650761,
12.25,-67.13030430460624,
12.5,-67.84507404842867,
12.75,-68.52980177579822,
13.0,-69.18581286295056,
13.25,-69.81439784681572,
13.5,-70.416810753616,
13.75,-70.99426791202976,
14.0,-71.54794717931452,
14.25,-72.07898751680284,
14.5,-72.58848885851839,
14.75,-73.07751222335249,
15.0,-73.54708002730641,
15.25,-73.99817655779748,
15.5,-74.43174857697514,
15.75,-74.84870602543927,
16.0,-75.24992280174074,
16.25,-75.63623759660514,
16.5,-76.00845476399938,
16.75,-76.36734521398583,
17.0,-76.7136473148172,
17.25,-77.04806779394731,
17.5,-77.37128262959223,
17.75,-77.68393792620688,
18.0,-77.98665076875746,
18.25,-78.2800100520011,
18.5,-78.56457728214006,
18.75,-78.84088734922518,
19.0,-79.10944926955038,
19.25,-79.37074689802094,
19.5,-79.62523961111216,
19.75,-79.87336296155993,
20.0,-80.11552930636435,
20.25,-80.35212841003722,
20.5,-80.58352802530078,
20.75,-80.81007445365206,
21.0,-81.03209308834852,
21.25,-81.24988894245452,
21.5,-81.4637471646207,
21.75,-81.6739335452516,
22.0,-81.8806950156538,
22.25,-82.08426014266105,
22.5,-82.28483962109527,
22.75,-82.48262676625635,
23.0,-82.67779800844333,
23.25,-82.87051339129158,
23.5,-83.06091707547718,
23.75,-83.24913784908885,
24.0,-83.43528964571001,
24.25,-83.61947207098235,
24.5,-83.80177093815357,
24.75,-83.98225881283913,
25.0,-84.16099556696473,
25.25,-84.33802894159072,
25.5,-84.51339511807883,
25.75,-84.68711929681952,
26.0,-84.85921628252515,
26.25,-85.02969107489248,
26.5,-85.19853946326195,
26.75,-85.36574862374684,
27.0,-85.53129771717425,
27.25,-85.6951584860817,
27.5,-85.85729584892854,
27.75,-86.01766848964465,
28.0,-86.17622944060545,
28.25,-86.33292665713779,
28.5,-86.48770358168929,
28.75,-86.64049969585538,
29.0,-86.79125105853993,
29.25,-86.93989082863338,
29.5,-87.0863497707178,
29.75,-87.23055674246228,
30.0,-87.37243916252811,
30.25,-87.51192345799322,
30.5,-87.64893549049324,
30.75,-87.78340096048441,
31.0,-87.9152457892452,
31.25,-88.04439647845872,
31.5,-88.17078044743589,
31.75,-88.29432634827397,
32.0,-88.41496435947023,
32.25,-88.53262645873792,
32.5,-88.6472466759983,
32.75,-88.758761327746,
33.0,-88.86710923419623,
33.25,-88.97223192084343,
33.5,-89.0740738062567,
33.75,-89.17258237814438,
34.0,-89.26770835990503,
34.25,-89.35940587007252,
34.5,-89.44763257723433,
34.75,-89.53234985317847,
35.0,-89.61352292717903,
35.25,-89.69112104448918,
35.5,-89.7651176322596,
35.75,-89.8354904762313,
36.0,-89.90222191169147,
36.25,-89.96529903229565,
36.5,-90.02471392046975,
36.75,-90.08046390320915,
37.0,-90.13255183716909,
37.25,-90.18098642701314,
37.5,-90.22578258102253,
37.75,-90.2669618080017,
38.0,-90.30455265948785,
38.25,-90.33859122122932,
38.5,-90.3691216578019,
38.75,-90.3961968140699,
39.0,-90.41987887697461,
39.25,-90.44024010084107,
39.5,-90.45736359897337,
39.75,-90.471344203809,
40.0,-90.48228939724477,
40.25,-90.49032031195097,
40.5,-90.49557280350203,
40.75,-90.49819859198003,
41.0,-90.49836647028312,
41.25,-90.49626357470815,
41.5,-90.49209671141742,
